ID,Protein_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F136,BSA,66,4.7,0.3,94,25,Acetate,5,20,NaCl,140,Sucrose,0.978,none,0,7.3,7.3,7.3,7,6.22
F137,poly-hIgG,150,7.6,1,171,25,Acetate,5,20,NaCl,140,Sucrose,0.488,none,0,11.94,11,10.3,7.8,4.17
F138,poly-hIgG,150,7.6,1,111,25,Acetate,5,20,NaCl,140,Sucrose,0.986,none,0,12,11,10,8.2,5.75
F139,BGG,150,6.6,1,159,25,Acetate,5,20,NaCl,140,Sucrose,0.476,none,0,10.5,10.5,10.5,8,4.65
F140,BGG,150,6.6,1,97,25,Acetate,5,20,NaCl,140,Sucrose,1,none,0,13.4,11,11,9,6.24
F141,BGG,150,6.6,1,181,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,17,17,15,10.3,4.14
F142,BGG,150,6.6,1,154,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,7,6.5,6.5,5.5,3.45
F143,BGG,150,6.6,1,102,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,3,3,3,2.8,2
F144,BGG,150,6.6,1,75,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2.2,2.2,2.2,2.2,2
F145,BSA,66,4.7,0.3,183,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,4.4,4.4,4.4,4.4,3.8
F146,BSA,66,4.7,0.3,125,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,3.3,3.3,3.3,3,1.5
F147,BSA,66,4.7,0.3,105,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2.7,2.7,2.7,2.4,1.5
F148,BSA,66,4.7,0.3,63,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2,2,2,2,1.3
F149,poly-hIgG,150,7.6,1,202,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,10,10,10,7,3.4
F150,poly-hIgG,150,7.6,1,158,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,5,5,5,4.5,3.4
F151,poly-hIgG,150,7.6,1,95,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2.95,2.95,2.95,2.85,2.4
F152,poly-hIgG,150,7.6,1,60,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,1.6,1.6,1.6,1.6,1.6
F153,poly-hIgG,150,7.6,1,220,25,Histidine,6,15,none,0,none,0,none,0,16,13.2,13.2,12,4
F154,poly-hIgG,150,7.6,1,194,25,Acetate,6,20,none,0,none,0,none,0,13.8,13.8,13.4,12.5,3.5
F155,poly-hIgG,150,7.6,1,209,25,Acetate,6,20,none,0,none,0,none,0,17.3,15.9,14.6,13,3.81
F156,poly-hIgG,150,7.6,1,134,25,Acetate,6,20,none,0,none,0,none,0,7.4,7.4,7,6.5,2.21
F157,poly-hIgG,150,7.6,1,175,25,Histidine,6,15,none,0,none,0,none,0,7.4,6.9,6.9,6.5,3.3
F158,poly-hIgG,150,7.6,1,157,25,Acetate,6,20,none,0,none,0,none,0,6.5,6.5,6.5,5.8,2.6
F159,poly-hIgG,150,7.6,1,163,25,Histidine,6,36,NaCl,32,none,0,none,0,10,8,8,7.6,2.5
F160,poly-hIgG,150,7.6,1,150,25,Acetate,6,20,NaCl,32,none,0,none,0,6.6,5,4.9,4.3,2.3
F161,poly-hIgG,150,7.6,1,175,30,Histidine,6,15,none,0,none,0,none,0,7,5.7,5.4,4.8,2
F162,poly-hIgG,150,7.6,1,175,20,Histidine,6,15,none,0,none,0,none,0,11.6,11.6,10.2,8,3.28
F163,Adalimumab,148,8.7,0.3,143,25,Histidine,6,15,none,0,none,0,none,0,6.7,6.7,6.7,5.3,2.54
