Viscosity,5MHz Correction,15MHz Correction
88.9,1,0.588772846
89,1,0.588263294
89.1,1,0.587754491
89.2,1,0.587246436
89.3,1,0.586739126
89.4,1,0.586232562
89.5,1,0.585726742
89.6,1,0.585221665
89.7,1,0.584717328
89.8,1,0.584213732
89.9,1,0.583710875
90,1,0.583208755
90.1,1,0.582707372
90.2,1,0.582206724
90.3,1,0.58170681
90.4,1,0.581207628
90.5,1,0.580709178
90.6,1,0.580211458
90.7,1,0.579714467
90.8,1,0.579218203
90.9,1,0.578722666
91,1,0.578227855
91.1,1,0.577733767
91.2,1,0.577240402
91.3,1,0.576747759
91.4,1,0.576255836
91.5,1,0.575764632
91.6,1,0.575274146
91.7,1,0.574784377
91.8,1,0.574295323
91.9,1,0.573806983
92,1,0.573319356
92.1,1,0.572832441
92.2,1,0.572346237
92.3,1,0.571860742
92.4,1,0.571375955
92.5,1,0.570891875
92.6,1,0.570408501
92.7,1,0.569925831
92.8,1,0.569443865
92.9,1,0.5689626
93,1,0.568482037
93.1,1,0.568002173
93.2,1,0.567523008
93.3,1,0.567044539
93.4,1,0.566566767
93.5,1,0.56608969
93.6,1,0.565613307
93.7,1,0.565137616
93.8,1,0.564662616
93.9,1,0.564188306
94,1,0.563714685
94.1,1,0.563241752
94.2,1,0.562769505
94.3,1,0.562297944
94.4,1,0.561827067
94.5,1,0.561356872
94.6,1,0.56088736
94.7,1,0.560418528
94.8,1,0.559950375
94.9,1,0.559482901
95,1,0.559016104
95.1,1,0.558549982
95.2,1,0.558084536
95.3,1,0.557619762
95.4,1,0.557155662
95.5,1,0.556692232
95.6,1,0.556229472
95.7,1,0.555767381
95.8,1,0.555305958
95.9,1,0.554845201
96,1,0.55438511
96.1,1,0.553925683
96.2,1,0.553466919
96.3,1,0.553008816
96.4,1,0.552551375
96.5,1,0.552094593
96.6,1,0.551638469
96.7,1,0.551183003
96.8,1,0.550728192
96.9,1,0.550274037
97,1,0.549820536
97.1,1,0.549367687
97.2,1,0.548915489
97.3,1,0.548463942
97.4,1,0.548013044
97.5,1,0.547562795
97.6,1,0.547113192
97.7,1,0.546664235
97.8,1,0.546215923
97.9,1,0.545768254
98,1,0.545321228
98.1,1,0.544874843
98.2,1,0.544429098
98.3,1,0.543983992
98.4,1,0.543539524
98.5,1,0.543095693
98.6,1,0.542652497
98.7,1,0.542209936
98.8,1,0.541768009
98.9,1,0.541326714
99,1,0.54088605
99.1,1,0.540446016
99.2,1,0.540006611
99.3,1,0.539567834
99.4,1,0.539129683
99.5,1,0.538692159
99.6,1,0.538255258
99.7,1,0.537818982
99.8,1,0.537383327
99.9,1,0.536948294
100,1,0.536513881
